word,translation
sewer,
shabby,
shack,
shaft,
shale,
shallot,
shallow,
sham,
shaman,
shamble,
shampoo,
shark,
shatter,
shawl,
shear,
sheer,
sheikh,
shepherd,
sheriff,
sherry,
shilling,
shimmer,
shin,
shingle,
shoal,
shortcoming,
shortfall,
shorthand,
shorts,
shovel,
showbiz,
showdown,
shred,
shrewd,
shriek,
shrill,
shrimp,
shrine,
shrink,
shroud,
shrub,
shudder,
shuffle,
shun,
shunt,
shutter,
shuttle,
sibling,
sic,
sideline,
siege,
sift,
sigma,
signature,
signify,
silhouette,
silicon,
sill,
silt,
simmer,
simplicity,
simplistic,
simulate,
sincere,
singular,
sinister,
sinus,
sip,
siren,
sizzle,
skate,
skeletal,
skeleton,
sketch,
skew,
skid,
skim,
skinny,
skip,
skipper,
skirmish,
skirted,
skull,
slab,
slack,
slam,
slang,
slant,
slap,
slash,
slate,
slaughter,
slay,
sleek,
sleeve,
slender,
slick,
slim,
slime,
sling,
slipper,
slippery,
slit,
slither,
sliver,
slogan,
slop,
slot,
sludge,
slug,
sluggish,
slum,
slump,
slur,
sly,
smack,
smear,
smirk,
smother,
smoulder,
smudge,
smug,
smuggle,
snack,
snag,
snail,
snapshot,
snare,
snarl,
snatch,
sneak,
sneer,
sneeze,
sniff,
snip,
snipe,
snob,
snore,
snort,
snuff,
snug,
soak,
soap,
soar,
sob,
sober,
soccer,
socialise,
socialism,
socialist,
socioeconomic,
sociology,
socket,
soda,
sodium,
sofa,
soiled,
solar,
solemn,
soles,
solicit,
solicitor,
solidarity,
solitary,
solitude,
solo,
soluble,
solvent,
sonnet,
soot,
soothe,
sophistication,
soprano,
sorcerer,
sorrow,
soundly,
sour,
souvenir,
sow,
soy,
spa,
spade,
spaghetti,
span,
spar,
spark,
sparkle,
sparse,
spasm,
spate,
spatial,
spawn,
spear,
specimen,
speck,
spectacle,
spectacular,
spectator,
spectra,
spectre,
spectrum,
sperm,
sphere,
spice,
spider,
spike,
spinach,
spine,
spiral,
spire,
spit,
spite,
splash,
splendid,
splendour,
splinter,
sponge,
spontaneous,
spook,
spoon,
sporadic,
spore,
spouse,
spout,
sprawl,
spreadsheet,
spree,
sprig,
sprinkle,
sprint,
sprout,
spruce,
spur,
spurt,
spy,
squabble,
squad,
squadron,
squander,
squash,
squat,
squeak,
squeal,
squid,
squint,
squire,
squirm,
squirrel,
squirt,
stab,
stables,
stack,
stadium,
stagger,
stagnant,
stagnate,
staircase,
stale,
stalk,
stall,
stallion,
stamina,
stammer,
stance,
staple,
starch,
stark,
starling,
startle,
stately,
static,
stationary,
stationer,
statue,
stature,
staunch,
stave,
stealth,
steamer,
steep,
steer,
stench,
stepmother,
stereo,
stereotype,
sterile,
sterling,
stern,
steroid,
stew,
steward,
sticky,
stifle,
stigma,
stimulus,
sting,
stink,
stint,
stipulate,
stitch,
stockbroker,
stocking,
stockpile,
stocky,
stoic,
stomp,
stool,
stoop,
storey,
stout,
stove,
stow,
straddle,
straggle,
straightforward,
strait,
strand,
stranded,
strangle,
strap,
strata,
stratify,
straw,
stray,
streak,
streamline,
strenuous,
stretcher,
strew,
stricken,
stride,
strife,
stringent,
stripe,
strive,
stroll,
stronghold,
strut,
stub,
stubborn,
stud,
stuffed,
stumble,
stump,
stunt,
sturdy,
stutter,
subconscious,
subcontract,
subdivide,
subdue,
subjected,
subjective,
sublime,
submarine,
submerge,
submission,
subordinate,
subscribe,
subside,
subsidiary,
subsist,
substantiate,
substantive,
substrate,
subtitle,
subtlety,
subtract,
subversive,
subvert,
subway,
succinct,
succumb,
sucker,
sued,
suffice,
suffocate,
suffrage,
suite,
sulk,
sullen,
sulphur,
summon,
sumptuous,
superb,
superficial,
superimpose,
superintendent,
supernatural,
supersede,
superstition,
supper,
supplant,
supple,
suppress,
supremacy,
surf,
surge,
surgeon,
surgical,
surmount,
surname,
surpass,
surplus,
surreal,
surrender,
surrogate,
surveillance,
susceptible,
suspense,
swamp,
swan,
swap,
swarm,
swathe,
sway,
sweater,
sweatshirt,
swerve,
swift,
swine,
swirl,
swish,
swivel,
swoop,
syllable,
syllabus,
symmetry,
symphony,
symposium,
synagogue,
syndicate,
syndrome,
synonym,
syntactic,
syntax,
synthesis,
synthetic,
syringe,
syrup,
systemic,
tab,
tableau,
tablespoon,
tablet,
tabloid,
taboo,
tacit,
tack,
tact,
tag,
tailor,
taint,
tally,
tame,
tamper,
tan,
tandem,
tang,
tangible,
tangle,
tanker,
tantalise,
tantrum,
taper,
tapestry,
tar,
tariff,
tarmac,
tarnish,
tart,
tatter,
tattoo,
taunt,
taut,
tavern,
taxonomy,
technician,
teddy,
tedious,
tee,
teen,
telecom,
telegram,
telegraph,
telescope,
teller,
temper,
temperament,
temperate,
tempered,
template,
temple,
tempo,
temporal,
tenant,
tendon,
tenet,
tenor,
tentacle,
tentative,
tenuous,
tenure,
terminal,
terminate,
terminology,
termite,
terrace,
terrain,
terrestrial,
terrific,
terrify,
testament,
