word,translation
tuff,
tuffet,
tufty,
tugrik,
tularemia,
tule,
tulip,
tum,
tumbledown,
tumbleweed,
tumbril,
tumescence,
tump,
tumulus,
tun,
tungsten,
tunica,
tunicate,
tunny,
tup,
tuple,
tupperware,
turban,
turbid,
turbo,
turbocharge,
turbofan,
turbojet,
turbolift,
turboprop,
turbot,
turd,
tureen,
turgid,
turgor,
turkeys,
turkic,
turkmen,
turmeric,
turnabout,
turncoat,
turnip,
turnkey,
turnpike,
turntable,
turpentine,
turpitude,
turps,
turtledove,
turtleneck,
turvey,
turvy,
tush,
tusk,
tussle,
tussock,
tussore,
tut,
tutelage,
tutelary,
tutsi,
tutte,
tutti,
tutty,
tutu,
tuxedo,
twaddle,
twain,
twang,
twat,
twee,
tweedledee,
tweedledum,
tween,
tweeny,
tweet,
tweeze,
tweezers,
twerp,
twiddle,
twig,
twigged,
twill,
twinge,
twinkie,
twinset,
twit,
twitter,
twixt,
twofer,
tycoon,
tyke,
tympanoplasty,
typecast,
typeface,
typeset,
typhoid,
typhoon,
typhus,
typo,
typography,
typological,
typology,
tyr,
tyrannical,
tyrannosaur,
tyrannosaurus,
tyro,
tyrosinase,
tyrosine,
ubiquinone,
ubiquitous,
ubiquity,
udder,
udon,
uhf,
ujamaa,
ukelele,
ulama,
ulema,
ulna,
ulnar,
ulterior,
ultima,
ultimatum,
ultraconservative,
ultralight,
ultramarine,
ultramodern,
ultramontane,
ultraorthodox,
ultraportable,
ultrasonic,
ultrasonograph,
ultrastructural,
ulu,
ululate,
ulva,
umbel,
umber,
umbilical,
umbo,
umbra,
umbrage,
umeboshi,
umlaut,
umma,
umpteen,
unabashed,
unabated,
unanimity,
unbecoming,
unbeknownst,
uncial,
unco,
unconscionable,
uncouth,
unction,
unctuous,
und,
underachieve,
underbelly,
undercarriage,
underclass,
underclothe,
undercurrent,
underdog,
underemployed,
underfund,
undergravel,
undergrowth,
underhand,
underlease,
underling,
underpass,
underplay,
underprivileged,
underrate,
undersea,
understudy,
undertaker,
undertone,
undertow,
